period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last,timeout_taken
Fourth_Period,4,29,12212,Shot,,,,,,,4596.0,Power_Play,16901.0,4596.0,,True,False,False,0.592,0.236,0.782,0.886,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zhongxian Chen, , , , , , , ,4837,4596,269,4596.0,298.0,
Fourth_Period,4,4,12212,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Lost_Ball,25476.0,4837.0,16900.0,4596.0,,,,,,,,,,,,4837.0, , , , , , ,Shaunn Blasius Jun Jie Lok,Yimin Chen, , , ,4837,4596,244,4596.0,269.0,
Fourth_Period,3,49,12212,Shot,,,,,,,4596.0,Regular_Attack,16910.0,4596.0,,False,False,False,0.355,0.178,0.404,0.606,25483.0,4837.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zekai Xie, ,Darren Jit An Lee, , , , , ,4837,4596,229,4837.0,244.0,
Fourth_Period,3,41,12212,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Lost_Ball,25479.0,4837.0,,,,,,,,,,,,,,4837.0, , , , , , ,Tien Ee Jayden See, , , , ,4837,4596,221,4596.0,229.0,
Fourth_Period,3,27,12212,Shot,,,,,,,4596.0,Regular_Attack,16906.0,4596.0,,False,True,False,0.364,0.088,0.344,0.487,25483.0,4837.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Yu Liu, ,Darren Jit An Lee, , , , , ,4837,4596,207,4837.0,221.0,
Fourth_Period,3,14,12212,Shot,,,,,,,4596.0,Regular_Attack,16901.0,4596.0,,False,False,False,0.129,0.109,0.162,0.965,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zhongxian Chen, , , , , , , ,4837,4596,194,4596.0,207.0,
Fourth_Period,3,8,12212,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,Exclusion,16910.0,4596.0,,,False,False,,,,4837.0, , , , , , , , ,Zekai Xie, , ,4837,4596,188,4596.0,194.0,
Fourth_Period,3,8,12212,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837.0,4837.0, , , , , , , , , , , ,4837,4596,188,4837.0,188.0,1.0
Fourth_Period,2,54,12212,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Clock_Expired,25475.0,4837.0,,,,,,,,,,,,,,4837.0, , , , , , ,Dominic Bo Xun Chan, , , , ,4837,4596,174,4837.0,188.0,
Fourth_Period,2,41,12212,Shot,,,,,,,4596.0,Regular_Attack,25413.0,4596.0,,True,True,False,0.407,0.101,0.267,0.92,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zijun Wen, , , , , , , ,4837,4596,161,4837.0,174.0,
Fourth_Period,2,13,12212,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Lost_Ball,25472.0,4837.0,,,,,,,,,,,,,,4837.0, , , , , , ,Wen Zhe Goh, , , , ,4837,4596,133,4596.0,161.0,
Fourth_Period,1,48,12212,Shot,,,,,,,4596.0,Regular_Attack,25413.0,4596.0,,True,False,False,0.205,0.107,0.791,0.955,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zijun Wen, , , , , , , ,4837,4596,108,4837.0,133.0,
Fourth_Period,1,23,12212,Shot,,,,,,,4837.0,Regular_Attack,25477.0,4837.0,,False,False,False,0.523,0.228,,,,,25413.0,4596.0,401.0,,,,,,,,,,,,,,,,,,4837.0, , , ,Sanjiv Rajandra, , , , , , ,Zijun Wen,4837,4596,83,4596.0,108.0,
Fourth_Period,1,21,12212,Shot,,,,,,,4837.0,Regular_Attack,25472.0,4837.0,,True,False,False,0.486,0.125,0.325,0.912,,,,,,,,,,,,,,,,,,,,,,,4837.0, , , ,Wen Zhe Goh, , , , , , , ,4837,4596,81,4837.0,83.0,
Fourth_Period,1,0,12212,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Exclusion,25478.0,4837.0,25415.0,4596.0,False,False,0.545,0.084,,4596.0, , , , , , , , ,Justin Kin Yan Saik,Beiyi Wang, ,4837,4596,60,4837.0,81.0,
Fourth_Period,0,48,12212,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4596.0,Lost_Ball,25411.0,4596.0,,,,,,,,,,,,,,4596.0, , , , , , ,Yuhao Cai, , , , ,4837,4596,48,4596.0,60.0,
Fourth_Period,0,38,12212,Shot,,,,,,,4837.0,Regular_Attack,25476.0,4837.0,,False,False,False,0.321,0.136,0.697,0.854,16909.0,4596.0,,,,,,,,,,,,,,,,,,,,,4837.0, , , ,Shaunn Blasius Jun Jie Lok, ,Honghui Wu, , , , , ,4837,4596,38,4596.0,48.0,
Fourth_Period,0,31,12212,Shot,,,,,,,4596.0,Regular_Attack,16907.0,4596.0,,False,True,False,0.495,0.103,0.388,0.463,25483.0,4837.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Yiahao Peng, ,Darren Jit An Lee, , , , , ,4837,4596,31,4837.0,38.0,
Fourth_Period,0,20,12212,Shot,,,,,,,4596.0,Regular_Attack,25416.0,4596.0,,True,False,False,0.18,0.118,0.287,0.519,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zhilong Liu, , , , , , , ,4837,4596,20,4596.0,31.0,
Fourth_Period,0,2,12212,Shot,,,,,,,4837.0,Regular_Attack,25472.0,4837.0,,False,False,False,0.384,0.301,,,,,25415.0,4596.0,401.0,,,,,,,,,,,,,,,,,,4837.0, , , ,Wen Zhe Goh, , , , , , ,Beiyi Wang,4837,4596,2,4596.0,20.0,
First_Period,8,0,12213,Swim_Off,1029.0,78.0,1190.0,12170.0,1190.0,12170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Vasilije Martinovic,Taiyo Watanabe,Taiyo Watanabe, , , , , , , , ,78,1190,1920,4837.0,2.0,
First_Period,7,39,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,12174.0,1190.0,381.0,78.0,,,,,,,,,,,,1190.0, , , , , , ,Kiyomu Date,Sava Randjelovic, , , ,78,1190,1899,1190.0,1920.0,
First_Period,7,30,12213,Shot,,,,,,,78.0,Regular_Attack,440.0,78.0,464.0,True,False,False,0.523,0.124,0.366,0.923,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Djordje Lazic,Nikola Jaksic, , , , , , ,78,1190,1890,1190.0,1899.0,
First_Period,7,11,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Offensive_Foul,4765.0,1190.0,,,,,,,,,,,,,,1190.0, , , , , , ,Kenta Araki, , , , ,78,1190,1871,78.0,1890.0,
First_Period,6,43,12213,Shot,,,,,,,78.0,Regular_Attack,439.0,78.0,,False,False,False,0.793,0.197,0.807,0.303,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic, , , , , , , ,78,1190,1843,1190.0,1871.0,
First_Period,6,35,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,381.0,78.0,,,False,False,,,,1190.0, , , , , , , , ,Sava Randjelovic, , ,78,1190,1835,78.0,1843.0,
First_Period,6,25,12213,Shot,,,,,,,1190.0,Power_Play,4759.0,1190.0,12170.0,True,False,False,0.293,0.214,0.288,0.54,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Toi Suzuki,Taiyo Watanabe, , , , , , ,78,1190,1825,1190.0,1835.0,
First_Period,6,15,12213,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,False,False,False,0.654,0.195,0.688,0.71,15272.0,1190.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, ,Ren Sasano, , , , , ,78,1190,1815,1190.0,1825.0,
First_Period,5,55,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,4763.0,1190.0,16.0,78.0,,,,,,,,,,,,1190.0, , , , , , ,Yusuke Inaba,Milos Cuk, , , ,78,1190,1795,78.0,1815.0,
First_Period,5,42,12213,Shot,,,,,,,78.0,Regular_Attack,440.0,78.0,464.0,True,False,False,0.546,0.121,0.732,0.747,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Djordje Lazic,Nikola Jaksic, , , , , , ,78,1190,1782,1190.0,1795.0,
First_Period,5,16,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,4765.0,1190.0,16.0,78.0,,,,,,,,,,,,1190.0, , , , , , ,Kenta Araki,Milos Cuk, , , ,78,1190,1756,78.0,1782.0,
First_Period,5,4,12213,Shot,,,,,,,78.0,Regular_Attack,464.0,78.0,,False,False,True,0.298,0.241,0.281,0.92,15272.0,1190.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic, ,Ren Sasano, , , , , ,78,1190,1744,1190.0,1756.0,
First_Period,4,56,12213,Shot,,,,,,,1190.0,Penalty,4763.0,1190.0,,True,False,False,0.508,0.196,0.245,0.537,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Yusuke Inaba, , , , , , , ,78,1190,1736,78.0,1744.0,
First_Period,4,56,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Penalty,464.0,78.0,12170.0,1190.0,False,False,0.488,0.076,,1190.0, , , , , , , , ,Nikola Jaksic,Taiyo Watanabe, ,78,1190,1736,1190.0,1736.0,
First_Period,4,39,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1029.0,78.0,15272.0,1190.0,,,,,,,,,,,,78.0, , , , , , ,Vasilije Martinovic,Ren Sasano, , , ,78,1190,1719,1190.0,1736.0,
First_Period,4,11,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,4755.0,1190.0,381.0,78.0,,,,,,,,,,,,1190.0, , , , , , ,Seiya Adachi,Sava Randjelovic, , , ,78,1190,1691,78.0,1719.0,
First_Period,4,6,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Exclusion,12170.0,1190.0,464.0,78.0,False,False,0.292,0.075,,78.0, , , , , , , , ,Taiyo Watanabe,Nikola Jaksic, ,78,1190,1686,1190.0,1691.0,
First_Period,3,46,12213,Shot,,,,,,,78.0,Power_Play,16.0,78.0,,False,False,False,0.44,0.286,0.155,0.912,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk, , , , , , , ,78,1190,1666,78.0,1686.0,
