period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
First_Period,3,5,12218,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,4596.0, , , , , , , , , , , ,1192,4596,1625,1192.0,1638.0
First_Period,3,5,12218,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0,Exclusion,8108.0,1192.0,16907.0,4596.0,False,False,0.425,0.07,,4596.0, , , , , , , , ,Andrej Grgurevic,Yiahao Peng, ,1192,4596,1625,4596.0,1625.0
First_Period,2,38,12218,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4596.0,Clock_Expired,16901.0,4596.0,,,,,,,,,,,,,,4596.0, , , , , , ,Zhongxian Chen, , , , ,1192,4596,1598,4596.0,1625.0
Third_Period,2,0,12218,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,4596.0, , , , , , , , , , , ,1192,4596,600,4596.0,601.0
Third_Period,2,0,12218,Shot,,,,,,,4596.0,Power_Play,25416.0,4596.0,16900.0,True,False,False,0.356,0.076,0.29,0.854,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zhilong Liu,Yimin Chen, , , , , , ,1192,4596,600,4596.0,600.0
Fourth_Period,4,6,12218,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0,1192.0, , , , , , , , , , , ,1192,4596,246,1192.0,246.0
First_Period,3,35,12219,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,2528.0, , , , , , , , , , , ,1190,2528,1655,1190.0,1655.0
First_Period,3,19,12219,Turnover,,,,,,,,,,,,,,,,,,,,,,,,2528.0,Offensive_Foul,12206.0,2528.0,,,,,,,,,,,,,,2528.0, , , , , , ,Gustavo Couthino, , , , ,1190,2528,1639,2528.0,1655.0
Fourth_Period,1,37,12219,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,2528.0, , , , , , , , , , , ,1190,2528,97,1190.0,103.0
Fourth_Period,1,17,12219,Shot,,,,,,,2528.0,Regular_Attack,12205.0,2528.0,,False,False,False,0.382,0.245,0.363,0.447,15270.0,1190.0,,,,,,,,,,,,,,,,,,,,,2528.0, , , ,Logan Cabral, ,Towa Nishimura, , , , , ,1190,2528,77,2528.0,97.0
