team_id,success rate general,success rate 2mins,success rate 4mins,success rate immediate
77,60.73059360730594,58.36559139784946,50.40962621607783,87.86482334869432
78,65.10791366906474,74.75769068689422,55.04424778761062,72.06068268015171
79,52.03619909502263,15.963855421686745,34.93975903614458,25.64543889845095
80,51.24999999999999,50.742982938910295,55.65897244973939,40.50632911392405
81,57.58754863813229,46.44886363636363,44.70486111111111,85.15625
84,59.10780669144982,45.409916543937165,49.42389326864767,48.840206185567006
87,48.96265560165975,39.21815889029004,38.79781420765027,57.17213114754098
105,46.21212121212121,56.30434782608695,50.897435897435905,75.0
165,47.755102040816325,31.746031746031743,39.1941391941392,16.57848324514991
1190,50.57034220532319,45.68713450292397,50.16447368421052,60.0
1192,44.27860696517413,26.24633431085044,25.14231499051234,29.493087557603687
1193,17.889908256880734,0.0,13.716108452950557,0.0
2528,41.409691629955944,43.920595533498755,41.93548387096774,27.859237536656888
2660,51.652892561983464,68.125,65.28301886792454,63.20987654320987
4596,35.148514851485146,30.000000000000004,41.77777777777778,51.11111111111111
4837,32.01970443349754,18.482142857142858,14.8109243697479,4.846938775510204
